src_event_id,dst_event_id,weight_sum,weight_mean,support
7000,7031,0.32541486620903015,0.32541486620903015,1
0,31,0.32541486620903015,0.32541486620903015,1
400,431,0.32541486620903015,0.32541486620903015,1
850,881,0.32541486620903015,0.32541486620903015,1
1150,1181,0.32541486620903015,0.32541486620903015,1
1500,1531,0.32541486620903015,0.32541486620903015,1
950,981,0.32541486620903015,0.32541486620903015,1
3600,3631,0.32541486620903015,0.32541486620903015,1
5700,5731,0.32541486620903015,0.32541486620903015,1
5750,5781,0.32541486620903015,0.32541486620903015,1
6000,6031,0.32541486620903015,0.32541486620903015,1
6500,6531,0.32541486620903015,0.32541486620903015,1
6700,6731,0.32541486620903015,0.32541486620903015,1
11000,11014,0.3185757100582123,0.3185757100582123,1
8550,8564,0.3185757100582123,0.3185757100582123,1
8650,8664,0.3185757100582123,0.3185757100582123,1
9400,9414,0.3185757100582123,0.3185757100582123,1
9900,9914,0.3185757100582123,0.3185757100582123,1
10050,10064,0.3185757100582123,0.3185757100582123,1
10450,10464,0.3185757100582123,0.3185757100582123,1
7700,7714,0.3185757100582123,0.3185757100582123,1
11050,11064,0.3185757100582123,0.3185757100582123,1
11600,11614,0.3185757100582123,0.3185757100582123,1
11700,11714,0.3185757100582123,0.3185757100582123,1
12200,12214,0.3185757100582123,0.3185757100582123,1
12800,12814,0.3185757100582123,0.3185757100582123,1
13500,13514,0.3185757100582123,0.3185757100582123,1
7750,7764,0.3185757100582123,0.3185757100582123,1
3600,3614,0.3185757100582123,0.3185757100582123,1
7650,7664,0.3185757100582123,0.3185757100582123,1
1850,1864,0.3185757100582123,0.3185757100582123,1
7000,7014,0.3185757100582123,0.3185757100582123,1
400,414,0.3185757100582123,0.3185757100582123,1
850,864,0.3185757100582123,0.3185757100582123,1
950,964,0.3185757100582123,0.3185757100582123,1
1500,1514,0.3185757100582123,0.3185757100582123,1
1150,1164,0.3185757100582123,0.3185757100582123,1
0,14,0.3185757100582123,0.3185757100582123,1
5700,5714,0.3185757100582123,0.3185757100582123,1
5750,5764,0.3185757100582123,0.3185757100582123,1
6000,6014,0.3185757100582123,0.3185757100582123,1
6500,6514,0.3185757100582123,0.3185757100582123,1
6700,6714,0.3185757100582123,0.3185757100582123,1
10450,10465,0.3183000385761261,0.3183000385761261,1
8550,8565,0.3183000385761261,0.3183000385761261,1
8650,8665,0.3183000385761261,0.3183000385761261,1
9400,9415,0.3183000385761261,0.3183000385761261,1
9900,9915,0.3183000385761261,0.3183000385761261,1
10050,10065,0.3183000385761261,0.3183000385761261,1
13500,13515,0.3183000385761261,0.3183000385761261,1
11000,11015,0.3183000385761261,0.3183000385761261,1
11050,11065,0.3183000385761261,0.3183000385761261,1
11600,11615,0.3183000385761261,0.3183000385761261,1
11700,11715,0.3183000385761261,0.3183000385761261,1
12200,12215,0.3183000385761261,0.3183000385761261,1
12800,12815,0.3183000385761261,0.3183000385761261,1
7750,7765,0.3183000385761261,0.3183000385761261,1
7700,7715,0.3183000385761261,0.3183000385761261,1
7650,7665,0.3183000385761261,0.3183000385761261,1
1850,1865,0.3183000385761261,0.3183000385761261,1
7000,7015,0.3183000385761261,0.3183000385761261,1
400,415,0.3183000385761261,0.3183000385761261,1
850,865,0.3183000385761261,0.3183000385761261,1
950,965,0.3183000385761261,0.3183000385761261,1
1150,1165,0.3183000385761261,0.3183000385761261,1
1500,1515,0.3183000385761261,0.3183000385761261,1
0,15,0.3183000385761261,0.3183000385761261,1
3600,3615,0.3183000385761261,0.3183000385761261,1
5750,5765,0.3183000385761261,0.3183000385761261,1
6000,6015,0.3183000385761261,0.3183000385761261,1
6500,6515,0.3183000385761261,0.3183000385761261,1
6700,6715,0.3183000385761261,0.3183000385761261,1
5700,5715,0.3183000385761261,0.3183000385761261,1
10450,10471,0.3123025894165039,0.3123025894165039,1
8550,8571,0.3123025894165039,0.3123025894165039,1
8650,8671,0.3123025894165039,0.3123025894165039,1
9400,9421,0.3123025894165039,0.3123025894165039,1
9900,9921,0.3123025894165039,0.3123025894165039,1
10050,10071,0.3123025894165039,0.3123025894165039,1
11600,11621,0.3123025894165039,0.3123025894165039,1
11000,11021,0.3123025894165039,0.3123025894165039,1
11050,11071,0.3123025894165039,0.3123025894165039,1
11700,11721,0.3123025894165039,0.3123025894165039,1
12200,12221,0.3123025894165039,0.3123025894165039,1
12800,12821,0.3123025894165039,0.3123025894165039,1
13500,13521,0.3123025894165039,0.3123025894165039,1
7750,7771,0.3123025894165039,0.3123025894165039,1
7700,7721,0.3123025894165039,0.3123025894165039,1
7650,7671,0.3123025894165039,0.3123025894165039,1
1850,1871,0.3123025894165039,0.3123025894165039,1
0,21,0.3123025894165039,0.3123025894165039,1
400,421,0.3123025894165039,0.3123025894165039,1
850,871,0.3123025894165039,0.3123025894165039,1
950,971,0.3123025894165039,0.3123025894165039,1
1150,1171,0.3123025894165039,0.3123025894165039,1
1500,1521,0.3123025894165039,0.3123025894165039,1
7000,7021,0.3123025894165039,0.3123025894165039,1
3600,3621,0.3123025894165039,0.3123025894165039,1
5750,5771,0.3123025894165039,0.3123025894165039,1
6000,6021,0.3123025894165039,0.3123025894165039,1
6500,6521,0.3123025894165039,0.3123025894165039,1
6700,6721,0.3123025894165039,0.3123025894165039,1
5700,5721,0.3123025894165039,0.3123025894165039,1
10450,10477,0.3118210434913635,0.3118210434913635,1
7750,7777,0.3118210434913635,0.3118210434913635,1
8550,8577,0.3118210434913635,0.3118210434913635,1
8650,8677,0.3118210434913635,0.3118210434913635,1
9400,9427,0.3118210434913635,0.3118210434913635,1
9900,9927,0.3118210434913635,0.3118210434913635,1
10050,10077,0.3118210434913635,0.3118210434913635,1
11600,11627,0.3118210434913635,0.3118210434913635,1
11000,11027,0.3118210434913635,0.3118210434913635,1
11050,11077,0.3118210434913635,0.3118210434913635,1
11700,11727,0.3118210434913635,0.3118210434913635,1
12200,12227,0.3118210434913635,0.3118210434913635,1
12800,12827,0.3118210434913635,0.3118210434913635,1
7700,7727,0.3118210434913635,0.3118210434913635,1
13500,13527,0.3118210434913635,0.3118210434913635,1
7650,7677,0.3118210434913635,0.3118210434913635,1
7000,7027,0.3118210434913635,0.3118210434913635,1
1500,1527,0.3118210434913635,0.3118210434913635,1
6700,6727,0.3118210434913635,0.3118210434913635,1
0,27,0.3118210434913635,0.3118210434913635,1
400,427,0.3118210434913635,0.3118210434913635,1
850,877,0.3118210434913635,0.3118210434913635,1
1150,1177,0.3118210434913635,0.3118210434913635,1
950,977,0.3118210434913635,0.3118210434913635,1
1850,1877,0.3118210434913635,0.3118210434913635,1
3600,3627,0.3118210434913635,0.3118210434913635,1
5700,5727,0.3118210434913635,0.3118210434913635,1
5750,5777,0.3118210434913635,0.3118210434913635,1
6000,6027,0.3118210434913635,0.3118210434913635,1
6500,6527,0.3118210434913635,0.3118210434913635,1
10450,10459,0.3110837936401367,0.3110837936401367,1
8550,8559,0.3110837936401367,0.3110837936401367,1
8650,8659,0.3110837936401367,0.3110837936401367,1
9400,9409,0.3110837936401367,0.3110837936401367,1
9900,9909,0.3110837936401367,0.3110837936401367,1
10050,10059,0.3110837936401367,0.3110837936401367,1
13500,13509,0.3110837936401367,0.3110837936401367,1
11000,11009,0.3110837936401367,0.3110837936401367,1
11050,11059,0.3110837936401367,0.3110837936401367,1
11600,11609,0.3110837936401367,0.3110837936401367,1
11700,11709,0.3110837936401367,0.3110837936401367,1
12200,12209,0.3110837936401367,0.3110837936401367,1
12800,12809,0.3110837936401367,0.3110837936401367,1
7750,7759,0.3110837936401367,0.3110837936401367,1
7700,7709,0.3110837936401367,0.3110837936401367,1
7650,7659,0.3110837936401367,0.3110837936401367,1
1850,1859,0.3110837936401367,0.3110837936401367,1
0,9,0.3110837936401367,0.3110837936401367,1
